	Exigl1_AssemblyScaffolds.fasta
GF00000051	scaffold_34, scaffold_449, scaffold_491, scaffold_582, scaffold_1706, scaffold_1304, scaffold_1608
GF00000052	scaffold_65, scaffold_222, scaffold_119, scaffold_246, scaffold_304, scaffold_831, scaffold_1442
GF00000053	scaffold_32, scaffold_474, scaffold_340, scaffold_557, scaffold_756, scaffold_938, scaffold_1350
GF00000054	scaffold_29, scaffold_378, scaffold_164, scaffold_718, scaffold_664, scaffold_787, scaffold_547
GF00000055	scaffold_112, scaffold_495, scaffold_656, scaffold_666, scaffold_558, scaffold_1071, scaffold_1278
GF00000056	scaffold_60, scaffold_111, scaffold_483, scaffold_654, scaffold_758, scaffold_1068, scaffold_1215
GF00000057	scaffold_191, scaffold_150, scaffold_847, scaffold_764, scaffold_1245, scaffold_1092, scaffold_1352
GF00000058	scaffold_101, scaffold_137, scaffold_436, scaffold_734, scaffold_768, scaffold_1228, scaffold_1517
GF00000059	scaffold_115, scaffold_213, scaffold_497, scaffold_676, scaffold_876, scaffold_788, scaffold_1001
GF00000060	scaffold_162, scaffold_239, scaffold_531, scaffold_1158, scaffold_1366, scaffold_1474, scaffold_1491
GF00000061	scaffold_200, scaffold_510, scaffold_731, scaffold_760, scaffold_1128, scaffold_1287, scaffold_1385
GF00000062	scaffold_171, scaffold_319, scaffold_736, scaffold_838, scaffold_1206, scaffold_1570, scaffold_1623
GF00000063	scaffold_72, scaffold_186, scaffold_290, scaffold_653, scaffold_1099, scaffold_1026, scaffold_1379
GF00000064	scaffold_176, scaffold_355, scaffold_705, scaffold_655, scaffold_883, scaffold_953, scaffold_1029
GF00000065	scaffold_325, scaffold_397, scaffold_427, scaffold_445, scaffold_1076, scaffold_1400, scaffold_1133
GF00000066	scaffold_219, scaffold_181, scaffold_542, scaffold_501, scaffold_1081, scaffold_1088, scaffold_1486
GF00000067	scaffold_291, scaffold_413, scaffold_683, scaffold_714, scaffold_793, scaffold_912, scaffold_1378
GF00000068	scaffold_234, scaffold_539, scaffold_737, scaffold_1077, scaffold_602, scaffold_952, scaffold_1040
GF00000069	scaffold_323, scaffold_512, scaffold_492, scaffold_671, scaffold_965, scaffold_1326, scaffold_1275
GF00000070	scaffold_18, scaffold_761, scaffold_703, scaffold_942, scaffold_1204, scaffold_1226
GF00000071	scaffold_26, scaffold_317, scaffold_609, scaffold_880, scaffold_925, scaffold_1573
GF00000072	scaffold_22, scaffold_316, scaffold_477, scaffold_690, scaffold_885, scaffold_1667
GF00000073	scaffold_96, scaffold_728, scaffold_697, scaffold_864, scaffold_1140, scaffold_1169
GF00000074	scaffold_36, scaffold_352, scaffold_435, scaffold_519, scaffold_833, scaffold_1191
GF00000075	scaffold_120, scaffold_233, scaffold_347, scaffold_571, scaffold_1114, scaffold_1520
GF00000076	scaffold_74, scaffold_797, scaffold_979, scaffold_1530, scaffold_1429, scaffold_1594
GF00000077	scaffold_86, scaffold_228, scaffold_795, scaffold_678, scaffold_891, scaffold_1454
GF00000078	scaffold_83, scaffold_240, scaffold_610, scaffold_890, scaffold_1070, scaffold_1665
GF00000079	scaffold_532, scaffold_281, scaffold_776, scaffold_537, scaffold_498, scaffold_897
GF00000080	scaffold_155, scaffold_341, scaffold_1034, scaffold_1085, scaffold_1699, scaffold_1268
GF00000081	scaffold_159, scaffold_327, scaffold_850, scaffold_1288, scaffold_1514, scaffold_1660
GF00000082	scaffold_218, scaffold_183, scaffold_439, scaffold_684, scaffold_1119, scaffold_849
GF00000083	scaffold_103, scaffold_148, scaffold_396, scaffold_405, scaffold_695, scaffold_1516
GF00000084	scaffold_106, scaffold_244, scaffold_321, scaffold_1011, scaffold_1489, scaffold_1155
GF00000085	scaffold_351, scaffold_667, scaffold_665, scaffold_1019, scaffold_1434, scaffold_1588
GF00000086	scaffold_322, scaffold_778, scaffold_887, scaffold_1056, scaffold_1299, scaffold_1582
GF00000087	scaffold_269, scaffold_494, scaffold_1372, scaffold_962, scaffold_1243, scaffold_1564
GF00000088	scaffold_361, scaffold_318, scaffold_772, scaffold_1113, scaffold_1618, scaffold_1655
GF00000089	scaffold_500, scaffold_464, scaffold_429, scaffold_614, scaffold_1433, scaffold_1145
GF00000090	scaffold_271, scaffold_616, scaffold_528, scaffold_1050, scaffold_1049, scaffold_1598
